,StructVal,SMACT,COV-R,COV-P,density EMD,E EMD,#elements EMD
"('WyckoffTransformer',)",,,,,,,
"('WyckoffTransformer', 'CrySPR', 'CHGNet_fix')",0.997,0.814,0.9876847290640394,0.9593190360380278,0.3928246372221345,0.07847637410772573,0.08055134730098717
"('WyckoffTransformer', 'CrySPR', 'CHGNet_free')",0.999,0.814,0.990159901599016,0.9548971921291178,0.40480726367251,0.06489730603098386,0.07990756007493766
"('WyckoffTransformer', 'CrySPR', 'CHGNet_fix_release')",0.996,0.814,0.9876695437731196,0.9594295821357506,0.38718583608147705,0.07798412322616288,0.08119672216507878
"('WyckoffTransformer', 'DiffCSP++')",0.998,0.814,0.9950738916256158,0.9581030289630776,0.3617345610542797,0.08327041142507044,0.07887409616312471
"('WyckoffTransformer', 'DiffCSP++', 'CHGNet_fix')",0.997,0.814,0.9926017262638718,0.9585452133539686,0.327697183345934,0.07034254854375545,0.07777619962962287
"('WyckoffTransformer', 'DiffCSP++', 'CHGNet_free')",0.997,0.814,0.9926017262638718,0.9561131992040681,0.33662039282616507,0.06781589583178012,0.07777619962962287
"('CrystalFormer',)",0.933933933933934,0.8498498498498499,0.9962264150943396,0.9456113199204068,0.19311080727105506,0.20838375951630725,0.1282215149125992
"('CrystalFormer', 'CHGNet_fix_release')",0.8991935483870968,0.8487903225806451,0.9986996098829649,0.9544550077382269,0.1855241372421727,0.13857109135332782,0.11892086308182984
"('DiffCSP',)",1.0,0.832,0.9981971153846154,0.995135971700199,0.3507988308123422,0.09498358775504816,0.34659470186567787
"('DiffCSP', 'CHGNet_fix')",1.0,0.825,0.9963636363636363,0.9518019013928808,0.4560868348411976,0.07505892724843219,0.3205676039635802
"('DiffCSP', 'CHGNet_no_relax')",1.0,0.832,0.9981971153846154,0.995135971700199,0.3507988308123422,0.09498358775504816,0.34659470186567787
"('DiffCSP++',)",0.9994,0.8513,0.996708979783733,0.9953570638956445,0.3148895513736754,0.06943396669989707,0.3988778401693648
"('DiffCSP++', 'CHGNet_fix_release')",1.0,0.858,0.9941724941724942,0.9547866460313951,0.1347932394980777,0.0357113251974211,0.45273007632061374
"('FlowMM',)",0.9686937387477496,0.8310662132426485,0.9972612971492593,0.9939199646252487,0.11529296475321163,0.07311446984701309,0.09428050481240899
"('FlowMM-relaxed',)",1.0,0.8282707745714906,0.9971185330713818,0.99557815609109,0.17416759558471345,0.04551125081387896,0.09268821902924744
"('split', 'train')",1.0,0.9042231721698113,0.9979622610751111,0.9992261773159408,0.08535011352276516,0.05026945749712257,0.022897941195278937
"('split', 'test')",1.0,0.9104576608445721,1.0,0.9990050851204952,0.03329374268858988,0.03415648050210477,0.019557048927090835
"('split', 'test', 'CHGNet_fix')",1.0,0.899,1.0,0.9639619721423833,0.09925880790025207,0.046730235746496776,0.03502134806232013
"('split', 'val')",1.0,0.9053829998894661,0.9981687217677939,0.9974574397523768,0.05044766679991459,0.0293443467653041,0.01839027660763333
