,Unique992,Unique10000,Novel WY,Novel SM,StructVal,SMACT,& sites EMD,& sites KS,& #elements KS,& #elements EMD,#DoF KS,#DoF EMD,density EMD,E EMD,COV-R,COV-P,& SG chi2,& elements chi2,S.U.N. 0,S.U.N. 0.08
"('WyckoffTransformer',)",1.0,0.9887,0.9067462324264185,0.9067462324264185,,,0.3080845624305386,0.047538888052076,0.051512030429230735,0.08289739904983279,0.060780434319460785,0.8733399554634614,,,,,0.05693070667669926,0.013146524971096732,,
"('WyckoffTransformer', 'CrySPR', 'CHGNet_fix')",1.0,,0.894,0.9,0.9966666666666667,0.8044444444444444,0.2897861829978618,0.049822310698223106,0.05473567794735678,0.09607019096070199,0.04766054707660547,0.7713153432131535,0.7406608309172473,0.054106196753827204,0.9866666666666667,0.9673744746737447,0.2140195263833189,0.04020752867430821,0.12912912912912913,0.3763763763763764
"('WyckoffTransformer', 'CrySPR', 'CHGNet_free')",1.0,,0.899,0.902,0.9988913525498891,0.8048780487804879,3.5273385447855805,0.18176153559810315,0.05415918127329913,0.09471517741056637,0.2609907154147852,13.54232281871591,0.741352092635216,0.049437208652972076,0.9900221729490022,0.9632824596328246,2.47792747389852,0.04029926103570584,0.15815815815815815,0.45145145145145144
"('WyckoffTransformer', 'CrySPR', 'CHGNet_fix_release')",1.0,,0.894,0.9,0.9955555555555555,0.8044444444444444,0.7281663348816603,0.057600088476000885,0.05473567794735678,0.09607019096070199,0.06654943596549436,2.372088770920879,0.7440485213014398,0.05315873754681419,0.9866666666666667,0.9671532846715328,0.2220595311086448,0.03992587470169376,0.13813813813813813,0.3923923923923924
"('WyckoffTransformer', 'DiffCSP++')",1.0,,0.892,0.895,0.9977653631284916,0.8033519553072626,0.30298161651584965,0.052069362219017645,0.05507087347808304,0.09892556029651822,0.05260157749249622,0.8918305511585287,0.6547492105199487,0.05644471850612076,0.9921787709497206,0.9643884096438841,0.2095010221051281,0.03905697846196157,,
"('WyckoffTransformer', 'DiffCSP++', 'CHGNet_fix')",1.0,,0.892,0.895,0.9966480446927374,0.8033519553072626,0.2761659740577491,0.046482770040246695,0.05507087347808304,0.09892556029651822,0.04031107469920013,0.7432271992032217,0.6720951406914524,0.05032758412844595,0.9921787709497206,0.9679274496792745,0.21130783436324163,0.03905697846196157,0.124,0.367
"('WyckoffTransformer', 'DiffCSP++', 'CHGNet_free')",1.0,,0.893,0.896,0.9966517857142857,0.8035714285714286,1.1004967887951462,0.08420723133314374,0.054780320804499634,0.09879836556387657,0.09692145977501818,3.9701889693335852,0.6864273345685815,0.048668101967628205,0.9921875,0.9667109046671091,0.3347082041099011,0.03926545964623562,0.127,0.379
"('CrystalFormer',)",0.9959677419354839,,0.7597989949748744,0.7829145728643216,0.9152759948652118,0.82798459563543,0.5385272380296884,0.11948391460305481,0.11309254572656088,0.21142072979071558,0.10702288194956129,1.5305154181357064,0.43583547598566846,0.2100344444082954,0.9948652118100129,0.935744304357443,0.30198108177659033,0.09182163550388571,,
"('CrystalFormer', 'CHGNet_fix_release')",0.9959677419354839,,0.7489878542510121,0.7692307692307693,0.868421052631579,0.8236842105263158,0.49096176905435474,0.11255195054657213,0.11184094110525152,0.20147207767261538,0.09327669705118802,1.3564666061304562,0.6414479531203854,0.09955476659690615,0.9986842105263158,0.9513381995133819,0.2762308017935322,0.0891768904664759,0.19858870967741934,0.37600806451612906
"('DiffCSP',)",0.9959677419354839,0.9788,0.9053943604413568,0.910093992644054,1.0,0.8201616524472385,4.858541469947112,0.4306421849956899,0.18315058589526878,0.3338739924159738,0.392276198078577,15.002942934469258,0.6443314028387805,0.07142129691471742,0.9971935339021104,0.9971245299712453,6.985952678562562,0.07061949301757521,,
"('DiffCSP', 'CHGNet_fix')",0.9959677419354839,,0.8965863453815262,0.9006024096385542,1.0,0.8093645484949833,4.680893104568129,0.4152894075140981,0.16374348173776926,0.2936360159463936,0.4065912401361465,15.75411032424679,0.8223778665208038,0.05240947126859048,0.9955406911928651,0.9620659146206592,7.988511176970545,0.09921595153619041,0.178,0.574
"('DiffCSP', 'CHGNet_no_relax')",0.9979838709677419,0.9788,0.9053943604413568,0.910093992644054,1.0,0.8201616524472385,4.858541469947112,0.4306421849956899,0.18315058589526878,0.3338739924159738,0.392276198078577,15.002942934469258,0.6443314028387805,0.07142129691471742,0.9971935339021104,0.9971245299712453,6.985952678562562,0.07061949301757521,0.106,0.35
"('DiffCSP++',)",0.998991935483871,0.986,0.8925963488843813,0.8967545638945233,0.9993214204931011,0.8472065143632662,0.2827072645631054,0.044222565672942686,0.18503199099870263,0.4545570368764908,0.053565654380940415,0.8062552192410193,0.17874638786125965,0.07417630456340009,0.995476136620674,0.9970139349701393,0.06911360809637768,0.030350047295864897,,
"('DiffCSP++', 'CHGNet_fix_release')",0.998991935483871,,0.8918918918918919,0.8968968968968969,1.0,0.8504464285714286,0.3542350479508326,0.05986892517458211,0.2021017493759282,0.5036316139760482,0.07226420553290991,1.0438496836193012,0.14783724827410663,0.03612210843958702,0.9933035714285714,0.957973899579739,0.25524956101022167,0.04799931962134744,0.155,0.414
"('FlowMM',)",1.0,,0.9327300150829563,0.9393665158371041,0.9666024405908799,0.8254121173196318,5.4745313989649675,0.5089979013231196,0.07422615107944841,0.12860429960974232,0.4937364304479616,18.20576892506347,0.21226719503655359,0.046204703445989766,0.9968957396703061,0.9950232249502322,12.877917163220005,0.01205627518193909,,
"('FlowMM-relaxed',)",0.9979838709677419,,0.8874876631209563,0.8943963153854589,1.0,0.8192741539970574,5.423008793685703,0.48409034770873083,0.07121924832499288,0.13064274516861468,0.49256401845065245,18.99303422348478,0.4897326866809333,0.03551199197627019,0.9966895537027954,0.9963503649635036,12.423175854783405,0.014637515614361166,,
"('split', 'train')",1.0,0.9999,,,1.0,0.904212582464158,0.06895971072166132,0.011754439266551175,0.005769983283292285,0.011016514267464483,0.014449247288376377,0.19746203283353742,0.04937809326252722,0.015127866031442238,0.9976412486639885,0.9995576199955762,0.025810706312667263,0.0063768679495917625,,
"('split', 'test')",1.0,,0.9736900287419854,0.999557815609109,1.0,0.9105286441052864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
"('split', 'test', 'CHGNet_fix')",1.0,,0.977,0.994,1.0,0.8993963782696177,0.17071150637512328,0.023178219950092057,0.009972019687245348,0.014134130151401653,0.021465666371598312,0.5384723737247636,0.08045235516239224,0.03917589913477387,1.0,0.9705817297058172,0.143034279542678,0.03522773090378697,0.642,0.987
"('split', 'val')",1.0,,,,1.0,0.9053725403493257,0.052504065949537736,0.008140579425867435,0.007425978738862927,0.012808969741178356,0.009056759858420794,0.10255728994664323,0.03712379396541797,0.016320543184554656,0.9980101702409905,0.9982304799823049,0.03525744799263024,0.006943662585709139,,
