group,count
1,14
2,26
3,2
4,9
5,17
6,7
7,5
8,13
9,4
10,8
11,11
12,51
14,25
15,14
19,1
20,1
21,1
25,3
26,1
31,3
33,3
35,2
36,5
38,13
41,1
42,2
43,2
44,2
47,3
51,2
55,5
58,3
59,2
60,1
62,44
63,35
64,2
65,4
70,2
71,17
72,7
74,13
79,1
82,1
87,4
88,4
99,5
107,7
109,1
114,1
115,4
119,7
121,4
122,3
123,15
124,1
125,1
127,6
128,1
129,19
131,2
136,8
139,38
140,7
141,6
146,4
147,3
148,8
150,1
155,3
156,11
160,13
163,1
164,30
166,34
167,5
176,1
183,1
186,11
187,10
189,10
191,19
193,16
194,39
198,3
204,3
205,1
216,25
217,2
220,5
221,35
223,2
225,161
227,7
229,3
