,formula,file_dir,error_str,folder_ind,chgnet_ehull,corrected_chgnet_ehull
0,K6 Te4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/224/min_e_strc.cif,no_error,224,0.22822098731994656,0.22822098731994656
1,Fe2 W2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/460/min_e_strc.cif,no_error,460,0.2400725909641821,0.2400725909641821
2,Tb3 Nd3 S6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/546/min_e_strc.cif,No valid decomposition found for PDEntry : Tb3 Nd3 S6 with energy = -79.6514! (e_h: -0.0031518936157226562),546,0.0,-0.0031518936157226562
3,Sr4 Br8 O32,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/945/min_e_strc.cif,no_error,945,0.43970628218217467,0.43970628218217467
4,Ac4 Sn4 Ir8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/382/min_e_strc.cif,no_error,382,0.06263303756713867,0.06263303756713867
5,K4 Bi4 O8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/322/min_e_strc.cif,no_error,322,0.05133867263793945,0.05133867263793945
6,Zr4 Zn4 N8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/623/min_e_strc.cif,No valid decomposition found for PDEntry : Zr4 Zn4 N8 with energy = -122.2011! (e_h: -0.004894256591796875),623,0.0,-0.004894256591796875
7,Ni5 Ag1 O2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/445/min_e_strc.cif,no_error,445,0.8275244832038879,0.8275244832038879
8,Ca1 Eu1 Br2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/828/min_e_strc.cif,no_error,828,0.11029207706451416,0.11029207706451416
9,K3 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/210/min_e_strc.cif,no_error,210,0.024602413177490234,0.024602413177490234
10,Mn4 Al16 N16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/889/min_e_strc.cif,no_error,889,0.5564103126525879,0.5564103126525879
11,Mn2 P2 O8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/706/min_e_strc.cif,no_error,706,0.24926233291625977,0.24926233291625977
12,Ce2 Ge24 Ru8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/166/min_e_strc.cif,no_error,166,0.007206000533760637,0.007206000533760637
13,Cr2 B3 Mo6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/521/min_e_strc.cif,no_error,521,1.3429918289184588,1.3429918289184588
14,Cs2 Te6 Ir2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/947/min_e_strc.cif,no_error,947,0.011316585540768642,0.011316585540768642
15,Tm8 Co4 Ru4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/257/min_e_strc.cif,No valid decomposition found for PDEntry : Tm8 Co4 Ru4 with energy = -107.2457! (e_h: -0.005741119384765625),257,0.0,-0.005741119384765625
16,Y1 Cu2 Ag3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/515/min_e_strc.cif,no_error,515,0.06699530056544756,0.06699530056544756
17,Ho2 In6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/850/min_e_strc.cif,no_error,850,0.029331445693969727,0.029331445693969727
18,Dy2 Ru2 Cl12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/793/min_e_strc.cif,no_error,793,0.04837489128112793,0.04837489128112793
19,Ba8 Pr8 S16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/417/min_e_strc.cif,no_error,417,0.055464744567871094,0.055464744567871094
20,V6 O9 F4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/678/min_e_strc.cif,no_error,678,0.06998092249820331,0.06998092249820331
21,Li16 Zn4 S20,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/747/min_e_strc.cif,no_error,747,0.003972005844117277,0.003972005844117277
22,K3 Th3 O6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/138/min_e_strc.cif,no_error,138,0.9688026309013367,0.9688026309013367
23,La6 Co4 Ge10,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/195/min_e_strc.cif,no_error,195,0.15307235717773615,0.15307235717773615
24,Na4 Fe2 O12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/401/min_e_strc.cif,no_error,401,0.24002313613891424,0.24002313613891424
25,Er4 Ti4 Br16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/315/min_e_strc.cif,No valid decomposition found for PDEntry : Er4 Ti4 Br16 with energy = -117.9324! (e_h: -0.38309494654337506),315,0.0,-0.38309494654337506
26,Zn3 Pb3 S6,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/613/min_e_strc.cif,no_error,613,0.271030068397522,0.271030068397522
27,Cu3 Cl24,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/122/min_e_strc.cif,no_error,122,0.03185447057088231,0.03185447057088231
28,Ti4 W4 F16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/26/min_e_strc.cif,no_error,26,0.7236847082773767,0.7236847082773767
29,Ag4 As4 Se4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/626/min_e_strc.cif,no_error,626,0.019716978073120117,0.019716978073120117
30,Ce4 Zn8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/427/min_e_strc.cif,No valid decomposition found for PDEntry : Ce4 Zn8 with energy = -37.4805! (e_h: -0.007773637771606001),427,0.0,-0.007773637771606001
31,Ce2 Ga3 Cu2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/18/min_e_strc.cif,no_error,18,0.09810761043003247,0.09810761043003247
32,Yb8 As12 Ru12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/6/min_e_strc.cif,Unable to get decomposition for PDEntry : Yb8 As12 Ru12 with energy = -201.1330,6,0.0,0.0
33,Pr4 Gd4 Zn8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/813/min_e_strc.cif,no_error,813,0.011248588562011719,0.011248588562011719
34,Cd4 Sn4 O16,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/511/min_e_strc.cif,no_error,511,0.23006868362427024,0.23006868362427024
35,Lu4 In2 Co2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/105/min_e_strc.cif,no_error,105,0.05585129261017041,0.05585129261017041
36,Na6 La6 S12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/449/min_e_strc.cif,no_error,449,0.0963735580444336,0.0963735580444336
37,Pr1 Mg1 Ni4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/28/min_e_strc.cif,no_error,28,1.0595269203186035,1.0595269203186035
38,Ca4 Ge4 N4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/0/min_e_strc.cif,no_error,0,0.08741517861684223,0.08741517861684223
39,Ca1 Zn9 B2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/726/min_e_strc.cif,no_error,726,0.28331407407919507,0.28331407407919507
40,Th8 Zn4 Ir4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/995/min_e_strc.cif,no_error,995,0.06701159477233887,0.06701159477233887
41,U6 S12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/369/min_e_strc.cif,no_error,369,0.016546249389648438,0.016546249389648438
42,Dy1 B2 Rh3,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/691/min_e_strc.cif,no_error,691,0.19619369506835938,0.19619369506835938
43,Nd4 Ga14 Sb4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/215/min_e_strc.cif,no_error,215,0.0817391438917685,0.0817391438917685
44,Ti1 P5 O13,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/389/min_e_strc.cif,no_error,389,0.10758017489785221,0.10758017489785221
45,Cs1 Nb6 Se8,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/396/min_e_strc.cif,No valid decomposition found for PDEntry : Cs1 Nb6 Se8 with energy = -105.9748! (e_h: -0.03471738696098203),396,0.0,-0.03471738696098203
46,Mn16 Fe4 As12,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/658/min_e_strc.cif,no_error,658,0.21388202905654907,0.21388202905654907
47,Ti8 Cr4 Fe4,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/863/min_e_strc.cif,no_error,863,0.010134458541870117,0.010134458541870117
48,Sn2 Pb1 I2,temp_files/nikita_Tformer_gene2/wyckoff_genes_nikita/133/min_e_strc.cif,no_error,133,0.06298675537109322,0.06298675537109322
