,formula,error_str,relxed_structure,chgnet_ehull,corrected_chgnet_ehull
0,Cs3 N4 O9,no_error,"# generated using pymatgen
data_Cs3N4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.51942089
_cell_length_b   5.55521812
_cell_length_c   14.55028444
_cell_angle_alpha   81.59959073
_cell_angle_beta   83.52427766
_cell_angle_gamma   61.41139323
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs3N4O9
_chemical_formula_sum   'Cs3 N4 O9'
_cell_volume   387.06599072
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.74944048  0.69039024  0.55619095  1
  Cs  Cs1  1  0.78626595  0.91449814  0.17030477  1
  Cs  Cs2  1  0.56646426  0.55417329  0.91227049  1
  N  N3  1  0.36230885  0.30098731  0.68029575  1
  N  N4  1  0.14555942  0.28967575  0.06235305  1
  N  N5  1  0.40805958  0.38669437  0.41185332  1
  N  N6  1  0.09500059  0.00500215  0.68424745  1
  O  O7  1  0.52718839  0.11626544  0.72743173  1
  O  O8  1  0.22515678  0.76837785  0.72824828  1
  O  O9  1  0.47022961  0.57864043  0.11851589  1
  O  O10  1  0.45547484  0.48044155  0.33712975  1
  O  O11  1  0.08246986  0.03169832  0.59586146  1
  O  O12  1  0.28122420  0.06840135  0.02128330  1
  O  O13  1  0.97907273  0.21722701  0.72873231  1
  O  O14  1  0.05721103  0.51646651  0.01011445  1
  O  O15  1  0.10283700  0.27938626  0.14943007  1
",0.4083656966686249,0.4083656966686249
1,Sr3 Lu1,no_error,"# generated using pymatgen
data_Sr3Lu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.89713394
_cell_length_b   6.13245252
_cell_length_c   6.15562975
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sr3Lu
_chemical_formula_sum   'Sr3 Lu1'
_cell_volume   184.86243408
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.50000000  0.96071756  0.50000000  1
  Sr  Sr1  1  0.00000000  0.46104668  0.50000000  1
  Sr  Sr2  1  0.00000000  0.96109760  0.00000000  1
  Lu  Lu3  1  0.50000000  0.46145797  0.00000000  1
",0.20433348417282104,0.20433348417282104
2,Li2 Ti4 Co2,no_error,"# generated using pymatgen
data_LiTi2Co
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.37422037
_cell_length_b   4.25772297
_cell_length_c   4.26921790
_cell_angle_alpha   90.00000000
_cell_angle_beta   125.22933692
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiTi2Co
_chemical_formula_sum   'Li2 Ti4 Co2'
_cell_volume   109.49239557
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.85423717  0.00000000  0.65727251  1
  Li  Li1  1  0.35423717  0.50000000  0.65727251  1
  Ti  Ti2  1  0.60439414  0.50000000  0.40709728  1
  Ti  Ti3  1  0.10472316  0.50000000  0.90844459  1
  Ti  Ti4  1  0.10439414  0.00000000  0.40709728  1
  Ti  Ti5  1  0.60472316  0.00000000  0.90844459  1
  Co  Co6  1  0.35607679  0.00000000  0.15752451  1
  Co  Co7  1  0.85607679  0.50000000  0.15752451  1
",0.10472333431243896,0.10472333431243896
3,U2 B6 Ru4,no_error,"# generated using pymatgen
data_UB3Ru2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.09262227
_cell_length_b   3.71177963
_cell_length_c   3.96126861
_cell_angle_alpha   90.00000000
_cell_angle_beta   97.35013114
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   UB3Ru2
_chemical_formula_sum   'U2 B6 Ru4'
_cell_volume   147.17603785
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  U  U0  1  0.76513832  0.50000000  0.22793968  1
  U  U1  1  0.26513832  0.00000000  0.22793968  1
  B  B2  1  0.88298042  0.00000000  0.81710750  1
  B  B3  1  0.71475073  0.00000000  0.71503026  1
  B  B4  1  0.09579325  0.50000000  0.37114619  1
  B  B5  1  0.38298042  0.50000000  0.81710750  1
  B  B6  1  0.21475073  0.50000000  0.71503026  1
  B  B7  1  0.59579325  0.00000000  0.37114619  1
  Ru  Ru8  1  0.01548907  0.50000000  0.85616184  1
  Ru  Ru9  1  0.98470721  0.00000000  0.34792626  1
  Ru  Ru10  1  0.51548907  0.00000000  0.85616184  1
  Ru  Ru11  1  0.48470721  0.50000000  0.34792626  1
",0.06352663040161133,0.06352663040161133
4,Ce10 Th5 Ni5,no_error,"# generated using pymatgen
data_Ce2ThNi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.98701108
_cell_length_b   8.87931829
_cell_length_c   9.07317248
_cell_angle_alpha   63.14867619
_cell_angle_beta   89.37109685
_cell_angle_gamma   89.52916435
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ce2ThNi
_chemical_formula_sum   'Ce10 Th5 Ni5'
_cell_volume   502.17421842
_cell_formula_units_Z   5
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.44290845  0.62551684  0.68216557  1
  Ce  Ce1  1  0.38697616  0.44716472  0.40835237  1
  Ce  Ce2  1  0.14742946  0.80157174  0.11463041  1
  Ce  Ce3  1  0.92260930  0.40184134  0.33223625  1
  Ce  Ce4  1  0.21157206  0.44934444  0.05024954  1
  Ce  Ce5  1  0.43460534  0.13606107  0.92945918  1
  Ce  Ce6  1  0.58216167  0.27729744  0.14753769  1
  Ce  Ce7  1  0.95132026  0.69499178  0.70484665  1
  Ce  Ce8  1  0.79282778  0.40667459  0.63309161  1
  Ce  Ce9  1  0.94693512  0.22676438  0.02660301  1
  Th  Th10  1  0.69888946  0.82664459  0.30820054  1
  Th  Th11  1  0.58813014  0.04795228  0.61068109  1
  Th  Th12  1  0.66375601  0.69450963  0.00597981  1
  Th  Th13  1  0.07615632  0.08277102  0.69140189  1
  Th  Th14  1  0.23300847  0.99628363  0.36946445  1
  Ni  Ni15  1  0.78209471  0.00940518  0.93663418  1
  Ni  Ni16  1  0.29951854  0.81315020  0.81928251  1
  Ni  Ni17  1  0.19062463  0.39164819  0.71868028  1
  Ni  Ni18  1  0.10508799  0.65318633  0.43740637  1
  Ni  Ni19  1  0.85275582  0.03889293  0.40698129  1
",0.08672332763671875,0.08672332763671875
5,W2 F8,No valid decomposition found for PDEntry : W2 F8 with energy = -67.8585! (e_h: -0.03662109375),"# generated using pymatgen
data_WF4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.18104487
_cell_length_b   5.22523632
_cell_length_c   5.83963506
_cell_angle_alpha   90.06532176
_cell_angle_beta   90.21637511
_cell_angle_gamma   110.50490307
_symmetry_Int_Tables_number   1
_chemical_formula_structural   WF4
_chemical_formula_sum   'W2 F8'
_cell_volume   148.07376815
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  W  W0  1  0.08732206  0.52380054  0.11644047  1
  W  W1  1  0.58705256  0.02519686  0.61641318  1
  F  F2  1  0.37140801  0.25751065  0.66150045  1
  F  F3  1  0.31959355  0.80199914  0.35968784  1
  F  F4  1  0.80352670  0.79375519  0.57169139  1
  F  F5  1  0.32224789  0.31051848  0.16152630  1
  F  F6  1  0.83276338  0.28833491  0.37221923  1
  F  F7  1  0.84962849  0.73429503  0.07282788  1
  F  F8  1  0.85518546  0.24727433  0.87247307  1
  F  F9  1  0.34086481  0.76139960  0.86020834  1
",0.0,-0.03662109375
6,Y1 Cu1 Si1,no_error,"# generated using pymatgen
data_YCuSi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.81339173
_cell_length_b   4.12349598
_cell_length_c   4.12679748
_cell_angle_alpha   60.07275627
_cell_angle_beta   89.86498993
_cell_angle_gamma   89.91899772
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YCuSi
_chemical_formula_sum   'Y1 Cu1 Si1'
_cell_volume   56.23898768
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.35517505  0.90127555  0.28035706  1
  Cu  Cu1  1  0.84391818  0.22892288  0.61406746  1
  Si  Si2  1  0.85593725  0.56135534  0.94870780  1
",0.0035381317138671875,0.0035381317138671875
7,Ta3 Mn5 Al10,no_error,"# generated using pymatgen
data_Ta3(MnAl2)5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.83919160
_cell_length_b   9.91460889
_cell_length_c   10.72610244
_cell_angle_alpha   63.33112936
_cell_angle_beta   89.80658882
_cell_angle_gamma   89.90482207
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ta3(MnAl2)5
_chemical_formula_sum   'Ta3 Mn5 Al10'
_cell_volume   269.81145373
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ta  Ta0  1  0.29691463  0.51694803  0.71524236  1
  Ta  Ta1  1  0.79144977  0.30577730  0.63073791  1
  Ta  Ta2  1  0.79103157  0.53379605  0.18598354  1
  Mn  Mn3  1  0.79492593  0.74322743  0.49019368  1
  Mn  Mn4  1  0.79498110  0.60727067  0.86308234  1
  Mn  Mn5  1  0.79074938  0.05837073  0.53388719  1
  Mn  Mn6  1  0.78621572  0.96045330  0.96927013  1
  Mn  Mn7  1  0.79340238  0.24365887  0.24738780  1
  Al  Al8  1  0.29273877  0.75220105  0.95259249  1
  Al  Al9  1  0.28716470  0.20494830  0.88151698  1
  Al  Al10  1  0.29183177  0.29645553  0.41172084  1
  Al  Al11  1  0.28796341  0.03000280  0.74427010  1
  Al  Al12  1  0.78420587  0.08645615  0.12400037  1
  Al  Al13  1  0.29358142  0.81385162  0.66244857  1
  Al  Al14  1  0.29509335  0.55953945  0.42672074  1
  Al  Al15  1  0.29476901  0.39355919  0.02856637  1
  Al  Al16  1  0.29140302  0.99145694  0.36900667  1
  Al  Al17  1  0.27746822  0.80246181  0.18814825  1
",0.026993942260743253,0.026993942260743253
8,Sm4 Zn6 Ni2,No valid decomposition found for PDEntry : Sm4 Zn6 Ni2 with energy = -42.8056! (e_h: -0.0005536079406738281),"# generated using pymatgen
data_Sm2Zn3Ni
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.11362115
_cell_length_b   4.37427952
_cell_length_c   7.12051070
_cell_angle_alpha   90.00000000
_cell_angle_beta   130.71090323
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sm2Zn3Ni
_chemical_formula_sum   'Sm4 Zn6 Ni2'
_cell_volume   238.78081078
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.69434456  0.50000000  0.63057226  1
  Sm  Sm1  1  0.08495481  0.00000000  0.02397491  1
  Sm  Sm2  1  0.19434456  0.00000000  0.63057226  1
  Sm  Sm3  1  0.58495481  0.50000000  0.02397491  1
  Zn  Zn4  1  0.46370716  0.00000000  0.21859927  1
  Zn  Zn5  1  0.48730779  0.00000000  0.62679555  1
  Zn  Zn6  1  0.30762538  0.50000000  0.40292553  1
  Zn  Zn7  1  0.96370716  0.50000000  0.21859927  1
  Zn  Zn8  1  0.98730779  0.50000000  0.62679555  1
  Zn  Zn9  1  0.80762538  0.00000000  0.40292553  1
  Ni  Ni10  1  0.30065558  0.50000000  0.01756903  1
  Ni  Ni11  1  0.80065558  0.00000000  0.01756903  1
",0.0,-0.0005536079406738281
9,Ho6 O9,no_error,"# generated using pymatgen
data_Ho2O3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.67132127
_cell_length_b   6.88248801
_cell_length_c   8.62884346
_cell_angle_alpha   103.92700303
_cell_angle_beta   90.34253391
_cell_angle_gamma   105.42302323
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ho2O3
_chemical_formula_sum   'Ho6 O9'
_cell_volume   203.43031688
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.81991209  0.50738398  0.86565894  1
  Ho  Ho1  1  0.48708389  0.84236405  0.19418285  1
  Ho  Ho2  1  0.42838266  0.73102589  0.58790557  1
  Ho  Ho3  1  0.15119736  0.17078185  0.52710288  1
  Ho  Ho4  1  0.76291246  0.40251461  0.25430222  1
  Ho  Ho5  1  0.09504568  0.06519178  0.91615277  1
  O  O6  1  0.29517962  0.46175992  0.06122884  1
  O  O7  1  0.95728300  0.78719715  0.39115880  1
  O  O8  1  0.29454539  0.46109205  0.71979570  1
  O  O9  1  0.28342757  0.43893574  0.39930835  1
  O  O10  1  0.62058882  0.11167807  0.06187514  1
  O  O11  1  0.63108572  0.13500776  0.38212855  1
  O  O12  1  0.94821790  0.76678839  0.73190173  1
  O  O13  1  0.62007937  0.11067607  0.72009284  1
  O  O14  1  0.96683752  0.80583676  0.05015592  1
",0.05578422546386719,0.05578422546386719
