Split,Model,MAE_log10,R2_log10,MAE_linear
random,ExtraTrees,0.18524501223102924,0.7644988123475004,9.936924972441899
random,Ensemble(ET+RF),0.1915654610406952,0.7636357234659172,9.677496489341495
random,RandomForest,0.20432662794064438,0.7382458774698104,9.8639450983527
random,GradientBoosting,0.22674697376363626,0.72386136069364,10.077187530346746
space_group,GradientBoosting,0.24693068890829645,0.696631531942814,10.923533213866314
space_group,RandomForest,0.25735756694786777,0.6758415395013343,11.013395710744344
space_group,Ensemble(ET+RF),0.25750495054229183,0.6851953311250112,10.895175187484995
space_group,ExtraTrees,0.2634341223163495,0.6832654934803604,10.976082420672846
ood,GradientBoosting,0.6874210119852183,-6.377197036903397,2.1263762722753996
ood,RandomForest,0.7202996981545131,-6.899912151972125,1.960427795900203
ood,Ensemble(ET+RF),0.7339308163694512,-7.229486240910976,2.1246426653094455
ood,ExtraTrees,0.7475653956723792,-7.669192597344763,2.6709375631579206
